"Tweet","Sentiment"
"RT @lybr3: Trashy. Tacky. Ignorant. Irony is that @NICKIMINAJ sounds like one of the 'brainless b****' she calls Melania Trump. https://t.c…","Negative"
"RT @realDonaldTrump: Donald J. Trump Ethics Reform Plan For Washington D.C. https://t.co/lKzas1SqUA","Negative"
"RT @BenHowe: On the news of Trump TV talks being underway behind the scenes, a reminder of what you’ll get. https://t.co/GW4BZlGQEw","Negative"
"RT @realDonaldTrump: Trump Virginia Office Announces Statewide TV Ad Strategy and Leadership Team: https://t.co/wVJZTjY8bA https://t.co/JUB…","Negative"
"RT @Darren32895836: @brunelldonald Sounds Off On Hillary Clinton &amp; Demands Her 2Step Down 4Her Multitude Of Nasty Racial Slurs &amp; Criminal B…","Negative"
"Donald Trump claims Paul Ryan doesn't want him to win because he wants to be president in ...… https://t.co/l7P1gC3o5Y","Negative"
"RT @Shannonsloan_: 'A person who is very flat chested is hard to be 10' aw thanks Donald trump ya fat ginger prick no ma fault you've got b…","Negative"
"RT @voxdotcom: Donald Trump’s unpatriotic campaign https://t.co/3l7iR3p7s7","Negative"
"RT @Autry1972: @FoxNews  Donald Trump is a Sex predator ,Trump show your Taxes, Donald Trump a fraud.paid no taxes for years","Negative"
"RT @nytimes: Is the 162-year-old party that has produced 18 presidents, including Lincoln and Reagan, about to fall apart? https://t.co/fk0…","Negative"
"Arabic billboard: 'Donald Trump, he can’t read this, but he is scared of it anyway'  https://t.co/F8FRbhdndn (/… https://t.co/Cra8TQIvRC","Negative"
"@thematrixqueen @TrumpedMovie since you don't get it, this shows grab em by the p*ssy Trump offering an unskilled woman a job based on looks","Negative"
"RT @TheLastWord: Clinton leads Trump by 50 points among Latinos, according to a new NBC News/Wall Street Journal/Telemundo poll. https://t.…","Negative"
"RT @Toimatom: yes, hence paying to incite violence at Trump rallies, whilst calling Trump an inciter  @Sheasy64 @patrick102977 @CarleitaS @…","Negative"
